State,Employer_Name,Occupation
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"RESOURCE MANAGEMENT SERVICE, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,SL ALABAMA LLC,Automotive
ALABAMA,"CNJ,INC.",Automotive
ALABAMA,MANDO AMERICA CORPORATION,Automotive
ALABAMA,GESTAMP ALABAMA LLC,Automotive
ALABAMA,"KAMTEK, INC.",Automotive
ALABAMA,"MATSU ALABAMA, INC.",Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,KWANGSUNG AMERICA CORP.,Automotive
ALABAMA,"NABI BUS, LLC",Automotive
ALABAMA,HS AUTOMOTIVE ALABAMA INC,Automotive
ALABAMA,"MERCEDES-BENZ U.S. INTERNATIONAL, INC.",Automotive
