DECISION_DATE,CASE_STATUS,CLASS OF ADMISSION
24-Apr-09,Certified,H-1B
2-Jun-09,Certified,H-1B
27-Apr-09,Certified,H-1B
11-Sep-09,Certified,H-1B
17-Sep-09,Certified,H-1B
17-Apr-09,Certified,H-1B
14-Jan-09,Certified-Expired,H-1B
23-Apr-09,Certified,H-1B
8-May-09,Certified,H-1B
21-Aug-09,Certified,H-1B
7-May-09,Certified,H-1B
3-Apr-09,Certified-Expired,H-1B
27-Feb-09,Certified-Expired,H-1B
21-Jan-09,Certified-Expired,H-1B
22-May-09,Certified,H-1B
24-Nov-08,Certified-Expired,H-1B
21-Nov-08,Certified-Expired,H-1B
2-Jun-09,Certified,H-1B
15-May-09,Denied,H-1B
25-Feb-09,Withdrawn,H-1B
8-Jun-09,Certified,H-1B
3-Apr-09,Certified-Expired,H-1B
8-Apr-09,Certified,H-1B
18-Sep-09,Certified,H-1B
10-Oct-08,Certified-Expired,H-1B
26-Nov-08,Certified-Expired,H-1B
24-Sep-09,Denied,H-1B
16-Jan-09,Certified-Expired,H-1B
4-Dec-08,Certified-Expired,H-1B
24-Feb-09,Certified-Expired,H-1B
21-Jan-09,Certified-Expired,H-1B
3-Apr-09,Certified-Expired,H-1B
11-Jun-09,Certified,H-1B
1-May-09,Certified,H-1B
15-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
22-Apr-09,Certified,H-1B
18-Sep-09,Certified,H-1B
9-Apr-09,Withdrawn,H-1B
11-Feb-09,Certified-Expired,H-1B
3-Oct-08,Withdrawn,H-1B
5-Jun-09,Certified,H-1B
9-Jun-09,Certified,H-1B
22-Sep-09,Certified,H-1B
18-Jun-09,Certified,H-1B
15-Oct-08,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
24-Apr-09,Certified,H-1B
6-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
14-Apr-09,Certified,H-1B
6-May-09,Certified,H-1B
17-Apr-09,Certified,H-1B
27-Apr-09,Certified,H-1B
6-May-09,Certified,H-1B
7-May-09,Certified,H-1B
12-Jan-09,Withdrawn,H-1B
28-May-09,Withdrawn,H-1B
29-May-09,Denied,H-1B
6-Feb-09,Certified-Expired,H-1B
10-Dec-08,Certified-Expired,H-1B
4-Sep-09,Withdrawn,H-1B
24-Apr-09,Certified,H-1B
2-Apr-09,Certified-Expired,H-1B
25-Mar-09,Certified-Expired,H-1B
30-Mar-09,Certified-Expired,H-1B
15-Apr-09,Certified,H-1B
21-Nov-08,Certified-Expired,H-1B
28-Sep-09,Denied,H-1B
29-Oct-08,Certified-Expired,H-1B
10-Sep-09,Denied,H-1B
6-Feb-09,Certified-Expired,H-1B
5-Jun-09,Certified,H-1B
17-Nov-08,Withdrawn,H-1B
5-Dec-08,Certified-Expired,H-1B
25-Nov-08,Certified-Expired,H-1B
2-Apr-09,Certified-Expired,H-1B
8-Oct-08,Certified-Expired,H-1B
9-Apr-09,Certified,H-1B
23-Jan-09,Certified-Expired,H-1B
2-Feb-09,Withdrawn,H-1B
3-Feb-09,Certified-Expired,H-1B
2-Feb-09,Withdrawn,H-1B
30-Jan-09,Certified-Expired,H-1B
13-Apr-09,Certified,H-1B
22-Apr-09,Certified,H-1B
17-Mar-09,Certified-Expired,H-1B
5-Mar-09,Certified-Expired,H-1B
23-Mar-09,Certified-Expired,H-1B
2-Apr-09,Certified-Expired,H-1B
2-Feb-09,Withdrawn,H-1B
1-Apr-09,Certified-Expired,H-1B
30-Apr-09,Certified,H-1B
3-Apr-09,Certified-Expired,H-1B
11-Jun-09,Certified,H-1B
3-Jun-09,Certified,H-1B
31-Mar-09,Certified-Expired,H-1B
2-Feb-09,Withdrawn,H-1B
19-Jun-09,Certified,H-1B
23-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
29-May-09,Certified,H-1B
8-May-09,Certified,H-1B
19-Jun-09,Certified,H-1B
21-Apr-09,Certified,H-1B
16-Dec-08,Withdrawn,H-1B
16-Feb-09,Withdrawn,H-1B
20-Feb-09,Withdrawn,H-1B
20-Feb-09,Withdrawn,H-1B
2-Feb-09,Withdrawn,H-1B
15-May-09,Certified,H-1B
11-May-09,Certified,H-1B
13-Feb-09,Withdrawn,H-1B
15-May-09,Certified,H-1B
14-Aug-09,Certified,H-1B
15-May-09,Certified,H-1B
16-Dec-08,Withdrawn,H-1B
20-Feb-09,Withdrawn,H-1B
20-Feb-09,Withdrawn,H-1B
20-Feb-09,Withdrawn,H-1B
30-Jun-09,Withdrawn,H-1B
2-Sep-09,Withdrawn,H-1B
24-Sep-09,Withdrawn,H-1B
30-Dec-08,Denied,H-1B
22-Sep-09,Certified,H-1B
16-Jan-09,Certified-Expired,H-1B
2-Oct-08,Certified-Expired,H-1B
17-Feb-09,Certified-Expired,H-1B
11-Jun-09,Certified,H-1B
14-Oct-08,Withdrawn,H-1B
9-Apr-09,Certified,H-1B
1-May-09,Certified,H-1B
1-Apr-09,Certified-Expired,H-1B
18-Jun-09,Certified,H-1B
16-Apr-09,Certified,H-1B
14-Apr-09,Withdrawn,H-1B
29-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
23-Apr-09,Certified,H-1B
28-Apr-09,Certified,H-1B
19-Dec-08,Certified-Expired,H-1B
9-Dec-08,Withdrawn,H-1B
10-Oct-08,Certified-Expired,H-1B
9-Jul-09,Certified,H-1B
21-Jul-09,Withdrawn,H-1B
13-Jan-09,Withdrawn,H-1B
5-Dec-08,Denied,H-1B
10-Aug-09,Withdrawn,H-1B
6-Feb-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
14-Jan-09,Certified-Expired,H-1B
18-Mar-09,Certified-Expired,H-1B
7-Apr-09,Certified,H-1B
8-Apr-09,Certified,H-1B
5-May-09,Certified,H-1B
2-Apr-09,Certified-Expired,H-1B
30-Apr-09,Certified,H-1B
18-Jun-09,Certified,H-1B
30-Apr-09,Certified,H-1B
18-Sep-09,Certified,H-1B
29-Apr-09,Certified,H-1B
30-Jan-09,Certified-Expired,H-1B
20-Mar-09,Certified-Expired,H-1B
3-Mar-09,Certified-Expired,H-1B
11-May-09,Certified,H-1B
7-May-09,Certified,H-1B
17-Sep-09,Withdrawn,H-1B
16-Dec-08,Denied,H-1B
2-Apr-09,Certified-Expired,H-1B
27-Feb-09,Certified-Expired,H-1B
6-Feb-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
28-Jan-09,Certified-Expired,H-1B
1-Apr-09,Certified-Expired,H-1B
17-Apr-09,Certified,H-1B
22-Apr-09,Certified,H-1B
13-Apr-09,Certified,H-1B
17-Apr-09,Certified,H-1B
26-Aug-09,Certified,H-1B
18-Sep-09,Certified,H-1B
27-Mar-09,Denied,H-1B
4-Feb-09,Certified-Expired,H-1B
9-Mar-09,Certified-Expired,H-1B
2-Oct-08,Certified-Expired,H-1B
14-Jan-09,Certified-Expired,H-1B
26-Jan-09,Certified-Expired,H-1B
10-Jun-09,Certified,H-1B
5-Mar-09,Certified-Expired,H-1B
26-Mar-09,Certified-Expired,H-1B
15-Jan-09,Certified-Expired,H-1B
11-Mar-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
14-Jan-09,Certified-Expired,H-1B
9-Jun-09,Certified,H-1B
16-Mar-09,Certified-Expired,H-1B
16-Mar-09,Certified-Expired,H-1B
2-Mar-09,Denied,H-1B
6-Mar-09,Certified-Expired,H-1B
20-Mar-09,Certified-Expired,H-1B
27-Feb-09,Certified-Expired,H-1B
4-Mar-09,Certified-Expired,H-1B
2-Apr-09,Certified-Expired,H-1B
16-Mar-09,Certified-Expired,H-1B
25-Mar-09,Certified-Expired,H-1B
10-Jun-09,Certified,H-1B
27-Mar-09,Certified-Expired,H-1B
14-Apr-09,Certified,H-1B
30-Mar-09,Certified-Expired,H-1B
3-Apr-09,Certified-Expired,H-1B
29-May-09,Certified,H-1B
27-Mar-09,Certified-Expired,H-1B
3-Apr-09,Certified-Expired,H-1B
1-Apr-09,Certified-Expired,H-1B
2-Jun-09,Certified,H-1B
13-Apr-09,Certified,H-1B
14-Oct-08,Withdrawn,H-1B
1-May-09,Certified,H-1B
5-May-09,Certified,H-1B
24-Apr-09,Certified,H-1B
28-Mar-09,Withdrawn,H-1B
6-May-09,Certified,H-1B
24-Apr-09,Certified,H-1B
28-Apr-09,Certified,H-1B
24-Apr-09,Certified,H-1B
20-May-09,Certified,H-1B
9-Jun-09,Certified,H-1B
1-May-09,Certified,H-1B
24-Apr-09,Certified,H-1B
28-Mar-09,Withdrawn,H-1B
27-Apr-09,Certified,H-1B
15-May-09,Certified,H-1B
15-Jul-09,Withdrawn,H-1B
27-Aug-09,Certified,H-1B
12-May-09,Certified,H-1B
26-Mar-09,Withdrawn,H-1B
29-Sep-09,Certified,H-1B
20-Aug-09,Withdrawn,H-1B
29-Sep-09,Certified,H-1B
24-Jun-09,Withdrawn,H-1B
24-Jun-09,Withdrawn,H-1B
20-Aug-09,Withdrawn,H-1B
18-May-09,Withdrawn,H-1B
21-Jan-09,Certified-Expired,H-1B
4-Sep-09,Denied,H-1B
30-Apr-09,Withdrawn,H-1B
21-Jan-09,Certified-Expired,H-1B
16-Jan-09,Certified-Expired,H-1B
30-Apr-09,Certified,H-1B
10-Nov-08,Withdrawn,H-1B
14-May-09,Certified,H-1B
18-Sep-09,Certified,H-1B
3-Sep-09,Certified,H-1B
10-Nov-08,Withdrawn,H-1B
29-Jun-09,Certified,H-1B
10-Oct-08,Certified-Expired,H-1B
23-Mar-09,Certified-Expired,H-1B
20-May-09,Certified,H-1B
28-Jan-09,Certified-Expired,H-1B
24-Apr-09,Certified,H-1B
15-Apr-09,Certified,H-1B
15-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
21-Apr-09,Certified,H-1B
14-Apr-09,Certified,H-1B
20-Apr-09,Certified,H-1B
30-Apr-09,Certified,H-1B
6-Nov-08,Certified-Expired,H-1B
16-Mar-09,Certified-Expired,H-1B
9-Jul-09,Denied,H-1B
23-Feb-09,Denied,H-1B
24-Mar-09,Certified-Expired,H-1B
4-Mar-09,Denied,H-1B
29-Dec-08,Certified-Expired,H-1B
20-Apr-09,Certified,H-1B
10-Oct-08,Certified-Expired,H-1B
