country,f1,h1b,Total
"Korea, North",0,0,111
"Korea, South","45,638","3,501","106,994"
Kuwait,"1,599",6,"18,003"
Laos,36,1,"1,371"
Lebanon,406,267,"17,816"
Macau S.A.R.,197,12,"1,732"
Malaysia,"2,032",556,"43,598"
Maldives,5,3,331
Mongolia,678,31,"7,142"
Nepal,"1,364",516,"9,825"
Oman,226,7,"2,869"
Pakistan,918,592,"33,808"
Palestinian Authority Travel Document,201,17,"3,809"
Philippines,706,"2,369","155,150"
Qatar,666,2,"5,765"
Saudi Arabia,"27,738",25,"90,728"
Singapore,"1,940",394,"10,743"
Sri Lanka,699,228,"11,517"
Syria,233,81,"8,366"
Thailand,"4,251",330,"56,885"
Timor-Leste,9,0,174
United Arab Emirates,983,0,"11,036"
Vietnam,"9,456",321,"50,483"
Yemen,237,7,"2,345"
Albania,406,69,"6,077"
Andorra,9,0,25
Armenia,126,52,"4,060"
Austria,759,182,"6,166"
Azerbaijan,385,41,"5,040"
Belarus,237,117,"10,319"
Belgium,766,225,"6,236"
Bosnia and Herzegovina,169,30,"7,136"
Bulgaria,476,352,"24,354"
Croatia,308,70,"16,166"
Cyprus,176,43,"5,305"
Czech Republic,536,122,"7,001"
Denmark,"1,125",182,"8,295"
Estonia,98,29,"1,522"
Finland,420,126,"4,699"
France,"5,960","2,069","45,779"
Georgia,334,50,"6,028"
Germany,"7,180","1,627","63,663"
Great Britain and Northern Ireland,"4,475","3,660","85,675"
Greece,891,334,"6,233"
Hungary,393,156,"5,458"
Iceland,222,42,"1,355"
Ireland,610,671,"17,752"
Italy,"3,759","1,095","23,023"
Kazakhstan,"1,912",72,"17,405"
Kosovo,110,11,"3,774"
Kyrgyzstan,218,16,"3,951"
Latvia,207,41,"3,528"
Liechtenstein,25,2,63
Lithuania,206,70,"3,017"
Luxembourg,57,7,315
Macedonia,84,26,"7,224"
Malta,13,4,322
Moldova,155,73,"8,221"
Monaco,8,1,28
Montenegro,99,17,"3,293"
Netherlands,"1,367",437,"15,316"
Norway,"2,387",98,"10,432"
Poland,797,372,"73,929"
Portugal,576,192,"4,906"
Romania,403,411,"32,627"
Russia,"5,239",883,"204,315"
San Marino,1,1,17
Serbia  ,693,224,"18,123"
Serbia and Montenegro,0,0,118
Slovakia,425,114,"5,211"
Slovenia,93,22,"1,083"
Spain,"4,650",962,"25,880"
Sweden,"2,684",339,"13,034"
Switzerland,"3,697",268,"13,777"
Tajikistan,349,8,"2,045"
Turkey,"6,833","1,332","91,992"
Turkmenistan,125,24,"1,243"
Ukraine,747,352,"50,086"
Uzbekistan,249,48,"5,812"
Vatican City,0,0,35
Antigua and Barbuda,86,10,"2,190"
"Bahamas, The","1,056",142,"11,520"
Barbados,131,58,"9,207"
Belize,145,25,"4,140"
Canada,349,88,"6,477"
Costa Rica,428,122,"41,432"
Cuba,17,3,"18,892"
Dominica,63,15,"1,465"
Dominican Republic,586,186,"65,261"
El Salvador,286,87,"28,357"
Grenada,73,24,"2,288"
Guatemala,403,83,"57,401"
Haiti,323,30,"24,550"
Honduras,580,111,"33,259"
Jamaica,984,362,"49,485"
Mexico,"8,464","2,647","1,315,116"
Nicaragua,160,29,"15,089"
Panama,535,79,"24,913"
Saint Kitts and Nevis,73,9,"1,550"
Saint Lucia,119,27,"3,343"
Saint Vincent and the Grenadines,42,11,"1,949"
Trinidad and Tobago,558,243,"31,645"
Australia,"1,891",537,"34,230"
Fiji,22,9,"3,002"
Kiribati,4,0,562
Marshall Islands,2,0,103
"Micronesia, Federated States of",0,0,13
Nauru,0,0,40
New Zealand,497,290,"8,171"
Palau,0,0,20
Papua New Guinea,49,0,831
Samoa,8,0,728
Solomon Islands,1,0,159
Tonga,6,0,"1,083"
Tuvalu,0,0,116
Vanuatu,0,0,123
Argentina,"1,156",675,"194,533"
Bolivia,393,108,"13,272"
Brazil,"14,408","1,614","801,371"
Chile,"1,548",199,"70,479"
Colombia,"4,839",934,"234,700"
Ecuador,"1,087",197,"78,950"
Guyana,86,26,"7,495"
Paraguay,225,33,"7,862"
Peru,"1,016",457,"70,850"
Suriname,27,4,"3,156"
Uruguay,147,77,"17,443"
Venezuela,"4,896",910,"198,442"
